road_id,road_admin,name,road_surface,road_class,portion,length
570643,State,I15,Paved,1,0.001263242110685447,0.8168741438146865
574898,State,I215,Paved,1,0.016418673742737398,0.7663838455827567
573667,State,S152,Paved,4,0.02609043824348162,0.778321446226848
575107,State,S210,Paved,4,0.013033346498803779,0.2976843076771416
573846,State,S266,Paved,3,0.059966605995480655,1.1371472312365276
574551,State,S71,Paved,3,0.03254318864531797,1.1780616043474688
563380,State,U89,Paved,3,0.0017018888325799387,1.277216691512842
570643,State,I15,Paved,1,0.0008936423045198555,0.5778728291326031
573667,State,S152,Paved,4,0.019970728537852273,0.5957602617759155
573846,State,S266,Paved,3,0.03761990445590487,0.7133865504183942
574551,State,S71,Paved,3,0.02360960474016703,0.8546663678641199
563380,State,U89,Paved,3,0.0014462352937657651,1.0853563533009738
570643,State,I15,Paved,1,0.0005392279876488278,0.3486911946693601
573908,State,S209,Paved,3,0.015271816728486555,0.32673754779138336
574551,State,S71,Paved,3,0.0075984941365513205,0.2750650617150986
563380,State,U89,Paved,3,0.0005306657381588291,0.3982487724318529
570643,State,I15,Paved,1,0.000865270360491034,0.5595261422300218
573908,State,S209,Paved,3,0.05025727411682947,1.0752446022340099
574551,State,S71,Paved,3,0.007115682817538305,0.2575873190368186
563380,State,U89,Paved,3,0.0005880507716411145,0.44131452455591574
570643,State,I15,Paved,1,0.00028681588612367427,0.18546918237438884
573913,State,S48,Paved,4,0.015072314613243144,0.3970539839830301
574551,State,S71,Paved,3,0.017554819215044867,0.6354834713309778
563380,State,U89,Paved,3,0.00046431730413322214,0.34845625615757775
573667,State,S152,Paved,4,0.012526705528286127,0.37369259466806315
573018,State,U191,Paved,3,0.0006368002235063281,0.2587814974156733
573018,State,U191,Paved,3,0.0009414630253365326,0.38258970783111984
563380,State,U89,Paved,3,0.0010588876955919101,0.7946635604849546
563380,State,U89,Paved,3,0.0034530168749994034,2.5913859380222464
576047,State,I70,Paved,1,0.0025379575093394113,0.9463508458274449
563380,State,U89,Paved,3,0.002479283742912278,1.8606283317833916
576047,State,I70,Paved,1,0.0009947088326055203,0.3709059515867469
573427,State,U50,Paved,3,0.005100980262993799,0.49819535038856305
563380,State,U89,Paved,3,0.0008621296877138552,0.6470025575804871
571112,State,I80,Paved,1,0.02022716346242536,6.310809512313891
573564,State,S112,Paved,3,0.907628941423551,12.541330802116164
573542,State,S138,Paved,3,0.20792883507098592,6.766321343764077
573508,State,S36,Paved,5,0.05521540215124597,5.761232995910668
563396,State,U40,Paved,3,0.00032430300988102787,0.09126226088623823
573018,State,U191,Paved,3,0.0002195501093872965,0.08922029856111516
563396,State,U40,Paved,3,0.0015021779385026128,0.4227285925328597
576077,State,U6,Paved,3,0.002191343483029775,1.054406375003803
576077,State,U6,Paved,3,0.002191343483029775,1.054406375003803
576077,State,U6,Paved,3,0.002191343483029775,1.054406375003803
576077,State,U6,Paved,3,0.002191343483029775,1.054406375003803
570643,State,I15,Paved,1,0.003396033168116145,2.196041173030468
563380,State,U89,Paved,3,0.004521940577372839,3.393581221574018
570643,State,I15,Paved,1,0.005196005487219286,3.3599913252777576
573513,State,S73,Paved,4,0.03979033901962344,2.6131110210297335
574281,State,S89,Paved,3,0.08334917777426512,0.21401337908178786
570643,State,I15,Paved,1,0.003085054974136111,1.9949474604288204
563380,State,U89,Paved,3,0.0034116627993349955,2.560350940500935
570643,State,I15,Paved,1,0.0005540249223942492,0.3582596165094848
573666,State,S92,Paved,5,0.1597364652105004,6.931347221694424
563380,State,U89,Paved,3,0.0026854724443503707,2.0153667882775648
570643,State,I15,Paved,1,0.00011374660020727562,0.07355411592931482
575085,State,S265,Paved,3,0.1718050344632956,1.0756546945455572
575082,State,U189,Paved,3,0.06272351776400593,2.8950859112230884
563380,State,U89,Paved,3,0.0012385384307413367,0.9294860666221895
575082,State,U189,Paved,3,0.002530290554611653,0.1167888663948749
563380,State,U89,Paved,3,0.000834095136711691,0.6259634651359162
570643,State,I15,Paved,1,0.005578670085978098,3.607440973951741
574281,State,S89,Paved,3,0.21028019568147527,0.5399306439909135
563380,State,U89,Paved,3,0.0053391233546527936,4.006852466545158
570643,State,I15,Paved,1,0.0002554543605356385,0.16518928579181819
563380,State,U89,Paved,3,0.003982641344212983,2.9888532692390406
570643,State,I15,Paved,1,6.432253015762155e-05,0.04159409451763044
576077,State,U6,Paved,3,0.005030832658959546,2.4206803124493117
576077,State,U6,Paved,3,0.002191343483029775,1.054406375003803
575082,State,U189,Paved,3,0.0050330612049516565,0.23230751565309585
563396,State,U40,Paved,3,0.0029670743470487614,0.8349657723761698
575082,State,U189,Paved,3,0.0050330612049516565,0.23230751565309585
563396,State,U40,Paved,3,0.0029670743470487614,0.8349657723761698
575082,State,U189,Paved,3,0.0050330612049516565,0.23230751565309585
563396,State,U40,Paved,3,0.0029670743470487614,0.8349657723761698
563396,State,U40,Paved,3,0.003814348992801512,1.0733977246153716
563396,State,U40,Paved,3,0.0037954800067135546,1.0680877944619336
563396,State,U40,Paved,3,0.0037858503588020123,1.0653779107631414
563396,State,U40,Paved,3,0.00409854907093071,1.1533746008202246
570632,State,S18,Paved,4,0.0007381656452753116,0.06038119517937753
570643,State,I15,Paved,1,0.0016074143109774796,1.0394327246759743
570632,State,S18,Paved,4,0.03749312309820226,3.066899141360915
570582,State,S34,Paved,3,0.26653850204281965,0.8538194028015345
563381,State,U91,Paved,4,0.002321167586948489,0.17691974525915174
563433,State,S9,Paved,3,0.005301367707294517,0.4856017209719429
563380,State,U89,Paved,3,0.0006405847449591726,0.4807397010473788
575478,State,S79,Paved,3,0.06080318841453766,0.2448560369089002
571112,State,I80,Paved,1,0.006172744841396158,1.9258764054848065
575102,State,S248,Paved,4,0.0027376588192799564,0.05008024896539072
563396,State,U40,Paved,3,0.00026686791350420897,0.07509942369428492
573071,State,S10,Paved,4,0.006553500548966978,0.7255344095866448
573054,State,S24,Paved,4,0.005814095158118976,1.4235239174196954
573311,State,S62,Paved,5,0.004846035723502186,0.33453290947142733
576047,State,I70,Paved,1,0.011093182473992285,4.136413859786508
563380,State,U89,Paved,3,0.0001870197225017499,0.140352710851997
563380,State,U89,Paved,3,0.0013913500660131214,1.0441666306462376
